ID,Segment,Segment_Name,Total_Spending,Estimated_CLV,Response_Probability,Churn_Risk,RFM_Score,Income,Age
5524,4,Affluent Singles,1617,309.33913043478265,0.8087671137046136,Medium Risk,13,58138.0,64
2174,0,High-Value Champions,27,4.32,0.28233664474132547,Low Risk,4,46344.0,67
4141,4,Affluent Singles,776,147.80952380952382,0.12165843544552173,Low Risk,10,71613.0,56
6182,2,Mature Loyalists,53,9.085714285714285,0.015591743725520087,Low Risk,5,26646.0,37
5324,2,Mature Loyalists,422,78.77333333333334,0.1590759736377629,High Risk,11,58293.0,40
7446,4,Affluent Singles,716,136.38095238095238,0.2565305776038964,Low Risk,9,62513.0,54
965,4,Affluent Singles,590,111.44444444444444,0.23001046536127728,Low Risk,9,55635.0,50
6177,2,Mature Loyalists,169,30.044444444444448,0.06384283289529354,Low Risk,6,33454.0,36
4855,2,Mature Loyalists,46,7.666666666666668,0.07711266329550934,Low Risk,3,30351.0,47
5899,0,High-Value Champions,49,4.8999999999999995,0.30474011176376903,Medium Risk,6,5648.0,71
387,2,Mature Loyalists,61,10.166666666666668,0.1028066178815696,Medium Risk,7,7500.0,45
2125,4,Affluent Singles,1102,206.625,0.1213958942223456,High Risk,12,63033.0,62
8180,0,High-Value Champions,310,57.230769230769226,0.06207569427749972,Medium Risk,9,59354.0,69
2569,2,Mature Loyalists,46,7.3599999999999985,0.10901061108103988,Low Risk,4,17323.0,34
2114,1,Budget-Conscious Families,1315,252.8846153846154,0.9764324800835837,Low Risk,12,82800.0,75
9736,2,Mature Loyalists,96,16.457142857142856,0.11022895090053765,Medium Risk,7,41850.0,41
4939,2,Mature Loyalists,317,58.11666666666667,0.11426078814575061,Low Risk,8,37760.0,75
6565,4,Affluent Singles,1782,342.144,0.7128263058141724,High Risk,15,76995.0,72
2278,2,Mature Loyalists,133,22.8,0.11325622137856067,High Risk,9,33812.0,36
9360,2,Mature Loyalists,316,57.93333333333333,0.2568981461134371,Low Risk,9,37040.0,39
5376,4,Affluent Singles,1730,334.0689655172414,0.15358095238095237,Low Risk,13,2447.0,42
1993,4,Affluent Singles,972,181.44000000000003,0.6870719295473028,Medium Risk,11,58607.0,72
4047,4,Affluent Singles,544,102.75555555555555,0.14582775948351961,Low Risk,8,65324.0,67
1409,0,High-Value Champions,444,82.45714285714287,0.11503831300292573,Medium Risk,10,40689.0,70
7892,2,Mature Loyalists,75,12.857142857142856,0.09630389152824613,High Risk,9,18589.0,52
2404,0,High-Value Champions,257,46.727272727272734,0.24379446055532253,Low Risk,7,53359.0,45
9422,2,Mature Loyalists,131,22.925,0.0828377613535832,Low Risk,6,38360.0,32
1966,1,Budget-Conscious Families,1672,321.53846153846155,0.9158385803385803,High Risk,15,84618.0,56
6864,2,Mature Loyalists,30,5.142857142857142,0.059067411018016776,Low Risk,5,10979.0,32
3033,4,Affluent Singles,318,57.81818181818183,0.08428341661393246,Medium Risk,9,38620.0,58
5710,2,Mature Loyalists,120,21.0,0.5096310870793865,Low Risk,6,40548.0,51
7373,0,High-Value Champions,302,55.366666666666674,0.2976295799673223,Low Risk,7,46610.0,69
8755,4,Affluent Singles,1196,225.9111111111111,0.15983406826239896,Low Risk,10,68657.0,75
10738,0,High-Value Champions,65,10.833333333333334,0.07289134223241776,Medium Risk,6,49389.0,70
4339,4,Affluent Singles,913,174.99166666666667,0.039780383476082884,Low Risk,11,67353.0,51
10755,2,Mature Loyalists,81,13.885714285714284,0.39889500603635747,High Risk,8,23718.0,45
8595,2,Mature Loyalists,67,11.166666666666668,0.03675105224153403,High Risk,8,42429.0,48
2968,4,Affluent Singles,902,172.55652173913046,0.7097324410805528,Medium Risk,12,48948.0,78
8601,4,Affluent Singles,1395,265.05,0.08864174085793441,Low Risk,10,80011.0,41
503,2,Mature Loyalists,53,8.833333333333334,0.04256933157807875,High Risk,7,20559.0,36
8430,0,High-Value Champions,22,3.3000000000000003,0.010680952080072107,Low Risk,3,21994.0,64
2139,2,Mature Loyalists,31,5.166666666666668,0.02966629557705662,Low Risk,3,7500.0,46
1371,4,Affluent Singles,984,184.5,0.07663650559757416,Medium Risk,11,79941.0,45
9909,2,Mature Loyalists,122,21.35,0.35844680395200984,Low Risk,6,7500.0,25
7286,2,Mature Loyalists,55,8.799999999999999,0.1060962386621042,High Risk,7,41728.0,53
6566,4,Affluent Singles,1319,250.61,0.49801080981411205,Low Risk,11,72550.0,67
8614,4,Affluent Singles,507,95.43529411764708,0.039613575535577594,Low Risk,9,65486.0,64
4114,4,Affluent Singles,1693,326.9241379310345,0.1742243573360278,Low Risk,11,79143.0,57
1331,2,Mature Loyalists,72,12.000000000000002,0.07461527584909247,Medium Risk,6,35790.0,44
2225,1,Budget-Conscious Families,1617,308.0,0.9896774193548388,Medium Risk,12,82582.0,44
9381,4,Affluent Singles,606,114.07058823529412,0.04966927066979125,Medium Risk,10,66373.0,43
